SPEC,COMMONNAME,SCINAME,SPEC6,CONF6,CONF,SP,Sort Order,Order,Family,Subfamily
CRTH,Crissal Thrasher,Toxostoma crissale,TOXCRI,,,,1642,Passeriformes,Mimidae,
LCTH,Le Conte's Thrasher,Toxostoma lecontei,TOXLEC,,,,1643,Passeriformes,Mimidae,
WBTH,White-breasted Thrasher,Ramphocinclus brachyurus,RAMBRA,,,,1644,Passeriformes,Mimidae,
BLMO,Blue Mockingbird,Melanotis caerulescens,MELCAE,,,,1645,Passeriformes,Mimidae,
BAWM,Blue-and-white Mockingbird,Melanotis hypoleucus,MELHYC,*,,,1646,Passeriformes,Mimidae,
SBTH,Scaly-breasted Thrasher,Allenia fusca,ALLFUC,,,,1647,Passeriformes,Mimidae,
PETH,Pearly-eyed Thrasher,Margarops fuscatus,MARFUS,,,,1648,Passeriformes,Mimidae,
BRTR,Brown Trembler,Cinclocerthia ruficauda,CINRUF,,,,1649,Passeriformes,Mimidae,
GRTR,Gray Trembler,Cinclocerthia gutturalis,CINGUT,,,,1650,Passeriformes,Mimidae,
EUST,European Starling,Sturnus vulgaris,STUVUL,,,,1651,Passeriformes,Sturnidae,
COMY,Common Myna,Acridotheres tristis,ACRTRI,,,,1652,Passeriformes,Sturnidae,
HIMY,Hill Myna,Gracula religiosa,GRAREL,,,,1653,Passeriformes,Sturnidae,
SIAC,Siberian Accentor,Prunella montanella,PRUMON,,,,1654,Passeriformes,Prunellidae,
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,MOTTSC,,,,1655,Passeriformes,Motacillidae,
CIWA,Citrine Wagtail,Motacilla citreola,MOTCIT,,,,1656,Passeriformes,Motacillidae,
GRAW,Gray Wagtail,Motacilla cinerea,MOTCIN,,*,,1657,Passeriformes,Motacillidae,
WHWA,White Wagtail,Motacilla alba,MOTALB,,,,1658,Passeriformes,Motacillidae,
TRPI,Tree Pipit,Anthus trivialis,ANTTRI,,,,1659,Passeriformes,Motacillidae,
OBPI,Olive-backed Pipit,Anthus hodgsoni,ANTHOD,,,,1660,Passeriformes,Motacillidae,
PEPI,Pechora Pipit,Anthus gustavi,ANTGUS,,,,1661,Passeriformes,Motacillidae,
RTPI,Red-throated Pipit,Anthus cervinus,ANTCER,,,,1662,Passeriformes,Motacillidae,
AMPI,American Pipit,Anthus rubescens,ANTRUB,,,,1663,Passeriformes,Motacillidae,
SPPI,Sprague's Pipit,Anthus spragueii,ANTSPR,,,,1664,Passeriformes,Motacillidae,
YEPI,Yellowish Pipit,Anthus lutescens,ANTLUT,,,,1665,Passeriformes,Motacillidae,
BOWA,Bohemian Waxwing,Bombycilla garrulus,BOMGAR,,,,1666,Passeriformes,Bombycillidae,
CEDW,Cedar Waxwing,Bombycilla cedrorum,BOMCED,,*,,1667,Passeriformes,Bombycillidae,
KAOO,Kauai Oo,Moho braccatus,MOHBRA,,,,1668,Passeriformes,Mohoidae,
OAOO,Oahu Oo,Moho apicalis,MOHAPI,,,,1669,Passeriformes,Mohoidae,
BIOO,Bishop's Oo,Moho bishopi,MOHBIS,,,,1670,Passeriformes,Mohoidae,
HAOO,Hawaii Oo,Moho nobilis,MOHNOB,,,,1671,Passeriformes,Mohoidae,
KIOE,Kioea,Chaetoptila angustipluma,CHAANG,,,,1672,Passeriformes,Mohoidae,
BAYS,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,PHAMEL,,,,1673,Passeriformes,Ptilogonatidae,
GRSF,Gray Silky-flycatcher,Ptilogonys cinereus,PTICIN,,,,1674,Passeriformes,Ptilogonatidae,
LTSF,Long-tailed Silky-flycatcher,Ptilogonys caudatus,PTICAU,,,,1675,Passeriformes,Ptilogonatidae,
PHAI,Phainopepla,Phainopepla nitens,PHANIT,,,,1676,Passeriformes,Ptilogonatidae,
PALM,Palmchat,Dulus dominicus,DULDOM,,,,1677,Passeriformes,Dulidae,
OLWA,Olive Warbler,Peucedramus taeniatus,PEUTAE,,,,1678,Passeriformes,Peucedramidae,
LALO,Lapland Longspur,Calcarius lapponicus,CALLAP,,,,1679,Passeriformes,Calcariidae,
CCLO,Chestnut-collared Longspur,Calcarius ornatus,CALORN,,,,1680,Passeriformes,Calcariidae,
SMLO,Smith's Longspur,Calcarius pictus,CALPIC,,,,1681,Passeriformes,Calcariidae,
MCLO,McCown's Longspur,Rhynchophanes mccownii,RHYMCC,,,,1682,Passeriformes,Calcariidae,
SNBU,Snow Bunting,Plectrophenax nivalis,PLENIV,,,,1683,Passeriformes,Calcariidae,
MKBU,McKay's Bunting,Plectrophenax hyperboreus,PLEHYP,,,,1684,Passeriformes,Calcariidae,
OVEN,Ovenbird,Seiurus aurocapilla,SEIAUR,,,,1685,Passeriformes,Parulidae,
WEWA,Worm-eating Warbler,Helmitheros vermivorum,HELVER,,,,1686,Passeriformes,Parulidae,
LOWA,Louisiana Waterthrush,Parkesia motacilla,PARMOT,,,,1687,Passeriformes,Parulidae,
NOWA,Northern Waterthrush,Parkesia noveboracensis,PARNOV,,,,1688,Passeriformes,Parulidae,
BAWA,Bachman's Warbler,Vermivora bachmanii,VERBAC,,,,1689,Passeriformes,Parulidae,
GWWA,Golden-winged Warbler,Vermivora chrysoptera,VERCHR,,,,1690,Passeriformes,Parulidae,
BWWA,Blue-winged Warbler,Vermivora cyanoptera,VERCYA,,,,1691,Passeriformes,Parulidae,
BRWA,Brewster's Warbler,Vermivora chrysoptera x cyanoptera,VERCCY,,,+,1692,Passeriformes,Parulidae,
LAWA,Lawrence's Warbler,Vermivora cyanoptera x chrysoptera,VERCCH,,,+,1693,Passeriformes,Parulidae,
BAWW,Black-and-white Warbler,Mniotilta varia,MNIVAR,,,,1694,Passeriformes,Parulidae,
PROW,Prothonotary Warbler,Protonotaria citrea,PROCIT,,*,,1695,Passeriformes,Parulidae,
SWWA,Swainson's Warbler,Limnothlypis swainsonii,LIMSWA,,,,1696,Passeriformes,Parulidae,
CCWA,Crescent-chested Warbler,Oreothlypis superciliosa,ORESUP,,,,1697,Passeriformes,Parulidae,
FTHW,Flame-throated Warbler,Oreothlypis gutturalis,OREGUT,,*,,1698,Passeriformes,Parulidae,
TEWA,Tennessee Warbler,Oreothlypis peregrina,OREPER,,,,1699,Passeriformes,Parulidae,
OCWA,Orange-crowned Warbler,Oreothlypis celata,ORECEL,,,,1700,Passeriformes,Parulidae,
COLW,Colima Warbler,Oreothlypis crissalis,ORECRI,,*,,1701,Passeriformes,Parulidae,
LUWA,Lucy's Warbler,Oreothlypis luciae,ORELUC,,,,1702,Passeriformes,Parulidae,
NAWA,Nashville Warbler,Oreothlypis ruficapilla,ORERUF,,,,1703,Passeriformes,Parulidae,
VIWA,Virginia's Warbler,Oreothlypis virginiae,OREVIR,,,,1704,Passeriformes,Parulidae,
SEMW,Semper's Warbler,Leucopeza semperi,LEUSER,*,*,,1705,Passeriformes,Parulidae,
CONW,Connecticut Warbler,Oporornis agilis,OPOAGI,,*,,1706,Passeriformes,Parulidae,
GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,GEOPOL,,,,1707,Passeriformes,Parulidae,
MAYE,Masked Yellowthroat,Geothlypis aequinoctialis,GEOAEQ,,,,1708,Passeriformes,Parulidae,
MGWA,MacGillivray's Warbler,Geothlypis tolmiei,GEOTOL,,,,1709,Passeriformes,Parulidae,
MOWA,Mourning Warbler,Geothlypis philadelphia,GEOPHI,,,,1710,Passeriformes,Parulidae,
KEWA,Kentucky Warbler,Geothlypis formosa,GEOFOR,,,,1711,Passeriformes,Parulidae,
OCYE,Olive-crowned Yellowthroat,Geothlypis semiflava,GEOSEM,,,,1712,Passeriformes,Parulidae,
BPYE,Black-polled Yellowthroat,Geothlypis speciosa,GEOSPE,,,,1713,Passeriformes,Parulidae,
BEYE,Belding's Yellowthroat,Geothlypis beldingi,GEOBEL,,,,1714,Passeriformes,Parulidae,
BAYE,Bahama Yellowthroat,Geothlypis rostrata,GEOROS,,,,1715,Passeriformes,Parulidae,
ALYE,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,,,,1716,Passeriformes,Parulidae,
COYE,Common Yellowthroat,Geothlypis trichas,GEOTRI,,,,1717,Passeriformes,Parulidae,
HOYE,Hooded Yellowthroat,Geothlypis nelsoni,GEONEL,,,,1718,Passeriformes,Parulidae,
WHIW,Whistling Warbler,Catharopeza bishopi,CATBIS,,*,,1719,Passeriformes,Parulidae,
PLWA,Plumbeous Warbler,Setophaga plumbea,SETPLU,,,,1720,Passeriformes,Parulidae,
EWWA,Elfin-woods Warbler,Setophaga angelae,SETANG,,,,1721,Passeriformes,Parulidae,
ARRW,Arrowhead Warbler,Setophaga pharetra,SETPHA,,*,,1722,Passeriformes,Parulidae,
HOWA,Hooded Warbler,Setophaga citrina,SETCIT,,,,1723,Passeriformes,Parulidae,
AMRE,American Redstart,Setophaga ruticilla,SETRUT,,,,1724,Passeriformes,Parulidae,
KIWA,Kirtland's Warbler,Setophaga kirtlandii,SETKIR,,,,1725,Passeriformes,Parulidae,
CMWA,Cape May Warbler,Setophaga tigrina,SETTIG,,,,1726,Passeriformes,Parulidae,
CERW,Cerulean Warbler,Setophaga cerulea,SETCER,,*,,1727,Passeriformes,Parulidae,
NOPA,Northern Parula,Setophaga americana,SETAME,,,,1728,Passeriformes,Parulidae,
SUWA,Sutton's Warbler,Setophaga americana x dominica,SETAMD,,,+,1729,Passeriformes,Parulidae,
TRPA,Tropical Parula,Setophaga pitiayumi,SETPIY,*,,,1730,Passeriformes,Parulidae,
MAWA,Magnolia Warbler,Setophaga magnolia,SETMAG,,,,1731,Passeriformes,Parulidae,
BBWA,Bay-breasted Warbler,Setophaga castanea,SETCAS,,,,1732,Passeriformes,Parulidae,
BLBW,Blackburnian Warbler,Setophaga fusca,SETFUS,,*,,1733,Passeriformes,Parulidae,
YEWA,Yellow Warbler,Setophaga petechia,SETPET,,,,1734,Passeriformes,Parulidae,
MANW,Mangrove Warbler,Setophaga petechia erithachorides,SETPER,,*,+,1735,Passeriformes,Parulidae,
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,SETPEN,,,,1736,Passeriformes,Parulidae,
BLPW,Blackpoll Warbler,Setophaga striata,SETSTR,,*,,1737,Passeriformes,Parulidae,
BTBW,Black-throated Blue Warbler,Setophaga caerulescens,SETCAE,,,,1738,Passeriformes,Parulidae,
PAWA,Palm Warbler,Setophaga palmarum,SETPAL,,,,1739,Passeriformes,Parulidae,
WPWA,Western Palm Warbler,Setophaga palmarum palmarum,SETPPA,,,+,1740,Passeriformes,Parulidae,
YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea,SETPHY,,,+,1741,Passeriformes,Parulidae,
OCAW,Olive-capped Warbler,Setophaga pityophila,SETPIP,*,*,,1742,Passeriformes,Parulidae,
PIWA,Pine Warbler,Setophaga pinus,SETPIN,,,,1743,Passeriformes,Parulidae,
YRWA,Yellow-rumped Warbler,Setophaga coronata,SETCOR,,,,1744,Passeriformes,Parulidae,
MYWA,Myrtle Warbler,Setophaga coronata coronata,SETCCO,,,+,1745,Passeriformes,Parulidae,
AUWA,Audubon's Warbler,Setophaga coronata auduboni,SETCAU,,,+,1746,Passeriformes,Parulidae,
YTWA,Yellow-throated Warbler,Setophaga dominica,SETDOM,,,,1747,Passeriformes,Parulidae,
BAHW,Bahama Warbler,Setophaga flavescens,SETFLA,,*,,1748,Passeriformes,Parulidae,
VITW,Vitelline Warbler,Setophaga vitellina,SETVIT,,*,,1749,Passeriformes,Parulidae,
PRAW,Prairie Warbler,Setophaga discolor,SETDIS,,*,,1750,Passeriformes,Parulidae,
ADWA,Adelaide's Warbler,Setophaga adelaidae,SETADE,,,,1751,Passeriformes,Parulidae,
BARW,Barbuda Warbler,Setophaga subita,SETSUB,,*,,1752,Passeriformes,Parulidae,
SLWA,St. Lucia Warbler,Setophaga delicata,SETDEL,,,,1753,Passeriformes,Parulidae,
GRWA,Grace's Warbler,Setophaga graciae,SETGRA,,,,1754,Passeriformes,Parulidae,
BTYW,Black-throated Gray Warbler,Setophaga nigrescens,SETNIG,,*,,1755,Passeriformes,Parulidae,
TOWA,Townsend's Warbler,Setophaga townsendi,SETTOW,,,,1756,Passeriformes,Parulidae,
THWH,Townsend's x Hermit Warbler Hybrid,Setophaga townsendi x occidentalis,SETTOO,,,+,1757,Passeriformes,Parulidae,
HEWA,Hermit Warbler,Setophaga occidentalis,SETOCC,,,,1758,Passeriformes,Parulidae,
GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,SETCHR,,,,1759,Passeriformes,Parulidae,
BTNW,Black-throated Green Warbler,Setophaga virens,SETVIR,,*,,1760,Passeriformes,Parulidae,
BURW,Buff-rumped Warbler,Myiothlypis fulvicauda,MYIFUL,,*,,1761,Passeriformes,Parulidae,
FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,BASLAC,,,,1762,Passeriformes,Parulidae,
RCWA,Rufous-capped Warbler,Basileuterus rufifrons,BASRUF,,,,1763,Passeriformes,Parulidae,
BCWA,Black-cheeked Warbler,Basileuterus melanogenys,BASMEL,,,,1764,Passeriformes,Parulidae,
PIRW,Pirre Warbler,Basileuterus ignotus,BASIGN,,*,,1765,Passeriformes,Parulidae,
GBWA,Golden-browed Warbler,Basileuterus belli,BASBEL,,,,1766,Passeriformes,Parulidae,
GCRW,Golden-crowned Warbler,Basileuterus culicivorus,BASCUL,,*,,1767,Passeriformes,Parulidae,
TSWA,Three-striped Warbler,Basileuterus tristriatus,BASTRI,,,,1768,Passeriformes,Parulidae,
CAWA,Canada Warbler,Cardellina canadensis,CADCAN,,,,1769,Passeriformes,Parulidae,
WIWA,Wilson's Warbler,Cardellina pusilla,CARPUS,,,,1770,Passeriformes,Parulidae,
RFWA,Red-faced Warbler,Cardellina rubrifrons,CARRUF,*,,,1771,Passeriformes,Parulidae,
REWA,Red Warbler,Cardellina rubra,CARRUA,*,,,1772,Passeriformes,Parulidae,
PHWA,Pink-headed Warbler,Cardellina versicolor,CARVER,,,,1773,Passeriformes,Parulidae,
PARE,Painted Redstart,Myioborus pictus,MYIPIC,,,,1774,Passeriformes,Parulidae,
STRE,Slate-throated Redstart,Myioborus miniatus,MYIMIN,,,,1775,Passeriformes,Parulidae,
COLR,Collared Redstart,Myioborus torquatus,MYITOR,,*,,1776,Passeriformes,Parulidae,
WRET,Wrenthrush,Zeledonia coronata,ZELCOR,,*,,1777,Passeriformes,Parulidae,
YBCH,Yellow-breasted Chat,Icteria virens,ICTVIR,,,,1778,Passeriformes,Parulidae,
WWWA,White-winged Warbler,Xenoligea montana,XENMON,,,,1779,Passeriformes,Parulidae,
GTWA,Green-tailed Warbler,Microligea palustris,MICPAL,,,,1780,Passeriformes,Parulidae,
YHWA,Yellow-headed Warbler,Teretistris fernandinae,TERFER,,,,1781,Passeriformes,Parulidae,
ORWA,Oriente Warbler,Teretistris fornsi,TERFOR,,,,1782,Passeriformes,Parulidae,
UNWA,Unidentified Warbler,"Parulidae (gen, sp)",PARGSP,,,+,1783,Passeriformes,Parulidae,
BANA,Bananaquit,Coereba flaveola,COEFLA,,,,1784,Passeriformes,,
RCCA,Red-crested Cardinal,Paroaria coronata,PARCOR,,,,1785,Passeriformes,Thraupidae,
YBCA,Yellow-billed Cardinal,Paroaria capitata,PARCAP,,,,1786,Passeriformes,Thraupidae,
WECO,White-eared Conebill,Conirostrum leucogenys,CONLEU,,,,1787,Passeriformes,Thraupidae,
PRTA,Puerto Rican Tanager,Nesospingus speculiferus,NESSPE,,,,1788,Passeriformes,Thraupidae,
YBTA,Yellow-backed Tanager,Hemithraupis flavicollis,HEMFLC,*,,,1789,Passeriformes,Thraupidae,
BAYT,Black-and-yellow Tanager,Chrysothlypis chrysomelas,CHRCHR,,,,1790,Passeriformes,Thraupidae,
BPLT,Black-crowned Palm-Tanager,Phaenicophilus palmarum,PHAPAL,,*,,1791,Passeriformes,Thraupidae,
GCPT,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,PHAPOL,,,,1792,Passeriformes,Thraupidae,
WECT,Western Chat-Tanager,Calyptophilus tertius,CALTER,,,,1793,Passeriformes,Thraupidae,
EACT,Eastern Chat-Tanager,Calyptophilus frugivorus,CALFRU,,,,1794,Passeriformes,Thraupidae,
ROTT,Rosy Thrush-Tanager,Rhodinocichla rosea,RHNROS,*,,,1795,Passeriformes,Thraupidae,
DFTA,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,,,,1796,Passeriformes,Thraupidae,
GHET,Gray-headed Tanager,Eucometis penicillata,EUCPEN,,*,,1797,Passeriformes,Thraupidae,
BTST,Black-throated Shrike-Tanager,Lanio aurantius,LANAUR,,,,1798,Passeriformes,Thraupidae,
WTST,White-throated Shrike-Tanager,Lanio leucothorax,LANLEU,,,,1799,Passeriformes,Thraupidae,
SRTA,Sulphur-rumped Tanager,Heterospingus rubrifrons,HETRUB,,,,1800,Passeriformes,Thraupidae,
SBTA,Scarlet-browed Tanager,Heterospingus xanthopygius,HETXAN,,,,1801,Passeriformes,Thraupidae,
WSTA,White-shouldered Tanager,Tachyphonus luctuosus,TACLUC,,,,1802,Passeriformes,Thraupidae,
TCTA,Tawny-crested Tanager,Tachyphonus delatrii,TACDEL,,,,1803,Passeriformes,Thraupidae,
WLTA,White-lined Tanager,Tachyphonus rufus,TACRUF,,,,1804,Passeriformes,Thraupidae,
CCTA,Crimson-collared Tanager,Ramphocelus sanguinolentus,RAMSAN,,,,1805,Passeriformes,Thraupidae,
CBTA,Crimson-backed Tanager,Ramphocelus dimidiatus,RAMDIM,,,,1806,Passeriformes,Thraupidae,
PAST,Passerini's Tanager,Ramphocelus passerinii,RAMPAS,,*,,1807,Passeriformes,Thraupidae,
CHET,Cherrie's Tanager,Ramphocelus costaricensis,RAMCOS,,*,,1808,Passeriformes,Thraupidae,
FRTA,Flame-rumped Tanager,Ramphocelus flammigerus,RAMFLA,,,,1809,Passeriformes,Thraupidae,
WESP,Western Spindalis,Spindalis zena,SPIZEN,,,,1810,Passeriformes,Thraupidae,
JAMS,Jamaican Spindalis,Spindalis nigricephala,SPINIG,,*,,1811,Passeriformes,Thraupidae,
HISP,Hispaniolan Spindalis,Spindalis dominicensis,SPDDOM,*,,,1812,Passeriformes,Thraupidae,
PRSP,Puerto Rican Spindalis,Spindalis portoricensis,SPIPOR,,,,1813,Passeriformes,Thraupidae,
BGTA,Blue-gray Tanager,Thraupis episcopus,THREPI,,,,1814,Passeriformes,Thraupidae,
YWTA,Yellow-winged Tanager,Thraupis abbas,THRABB,,,,1815,Passeriformes,Thraupidae,
PALT,Palm Tanager,Thraupis palmarum,THRPAL,,*,,1816,Passeriformes,Thraupidae,
BAGT,Blue-and-gold Tanager,Bangsia arcaei,BANARC,,,,1817,Passeriformes,Thraupidae,
GAGT,Gray-and-gold Tanager,Tangara palmeri,TANPAL,,,,1818,Passeriformes,Thraupidae,
ARTA,Azure-rumped Tanager,Tangara cabanisi,TANCAB,,,,1819,Passeriformes,Thraupidae,
LATA,Lesser Antillean Tanager,Tangara cucullata,TANCUC,,,,1820,Passeriformes,Thraupidae,
GHOT,Golden-hooded Tanager,Tangara larvata,TANLAR,,*,,1821,Passeriformes,Thraupidae,
SPTA,Speckled Tanager,Tangara guttata,TANGUT,,,,1822,Passeriformes,Thraupidae,
GNTA,Green-naped Tanager,Tangara fucosa,TANFUC,,,,1823,Passeriformes,Thraupidae,
SCHT,Spangle-cheeked Tanager,Tangara dowii,TANDOW,,*,,1824,Passeriformes,Thraupidae,
PCTA,Plain-colored Tanager,Tangara inornata,TANINO,,,,1825,Passeriformes,Thraupidae,
RWTA,Rufous-winged Tanager,Tangara lavinia,TANLAV,,,,1826,Passeriformes,Thraupidae,
BHTA,Bay-headed Tanager,Tangara gyrola,TANGYR,,,,1827,Passeriformes,Thraupidae,
EMTA,Emerald Tanager,Tangara florida,TANFLO,,,,1828,Passeriformes,Thraupidae,
STTA,Silver-throated Tanager,Tangara icterocephala,TANICT,,,,1829,Passeriformes,Thraupidae,
STDA,Scarlet-thighed Dacnis,Dacnis venusta,DACVEN,,,,1830,Passeriformes,Thraupidae,
BLDA,Blue Dacnis,Dacnis cayana,DACCAY,,,,1831,Passeriformes,Thraupidae,
VIDA,Viridian Dacnis,Dacnis viguieri,DACVIG,,,,1832,Passeriformes,Thraupidae,
GRHO,Green Honeycreeper,Chlorophanes spiza,CHLSPI,,,,1833,Passeriformes,Thraupidae,
SHHO,Shining Honeycreeper,Cyanerpes lucidus,CYALUC,,,,1834,Passeriformes,Thraupidae,
PUHO,Purple Honeycreeper,Cyanerpes caeruleus,CYACAE,,,,1835,Passeriformes,Thraupidae,
RLHO,Red-legged Honeycreeper,Cyanerpes cyaneus,CYACYU,*,,,1836,Passeriformes,Thraupidae,
SWTA,Swallow Tanager,Tersina viridis,TERVIR,,,,1837,Passeriformes,Thraupidae,
LASA,Lesser Antillean Saltator,Saltator albicollis,SALALB,,,,1838,Passeriformes,,
SSAL,Streaked Saltator,Saltator striatipectus,SALSTR,,*,,1839,Passeriformes,,
GRAS,Grayish Saltator,Saltator coerulescens,SALCOE,,*,,1840,Passeriformes,,
BTSA,Buff-throated Saltator,Saltator maximus,SALMAX,,,,1841,Passeriformes,,
BHSA,Black-headed Saltator,Saltator atriceps,SALATR,,,,1842,Passeriformes,,
SCOG,Slate-colored Grosbeak,Saltator grossus,SALGRO,,*,,1843,Passeriformes,,
BGRA,Blue-black Grassquit,Volatinia jacarina,VOLJAC,,*,,1844,Passeriformes,Emberizidae,
SCSE,Slate-colored Seedeater,Sporophila schistacea,SPOSCH,,,,1845,Passeriformes,Emberizidae,
VASE,Variable Seedeater,Sporophila americana,SPOAME,,,,1846,Passeriformes,Emberizidae,
WCSE,White-collared Seedeater,Sporophila torqueola,SPOTOR,,,,1847,Passeriformes,Emberizidae,
YBSE,Yellow-bellied Seedeater,Sporophila nigricollis,SPONIG,,,,1848,Passeriformes,Emberizidae,
RBSE,Ruddy-breasted Seedeater,Sporophila minuta,SPOMIN,,,,1849,Passeriformes,Emberizidae,
NISF,Nicaraguan Seed-Finch,Oryzoborus nuttingi,ORYNUT,,,,1850,Passeriformes,Emberizidae,
TBSF,Thick-billed Seed-Finch,Oryzoborus funereus,ORYFUN,,,,1851,Passeriformes,Emberizidae,
LBSF,Large-billed Seed-Finch,Oryzoborus crassirostris,ORYCRA,,,,1852,Passeriformes,Emberizidae,
CUBU,Cuban Bullfinch,Melopyrrha nigra,MELNIG,,,,1853,Passeriformes,Emberizidae,
CUGR,Cuban Grassquit,Tiaris canorus,TIACAN,,,,1854,Passeriformes,Emberizidae,
YFGR,Yellow-faced Grassquit,Tiaris olivaceus,TIAOLI,,,,1855,Passeriformes,Emberizidae,
BFGR,Black-faced Grassquit,Tiaris bicolor,TIABIC,,,,1856,Passeriformes,Emberizidae,
YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,LOXANO,,,,1857,Passeriformes,Emberizidae,
PRBU,Puerto Rican Bullfinch,Loxigilla portoricensis,LOXPOR,,,,1858,Passeriformes,Emberizidae,
GABU,Greater Antillean Bullfinch,Loxigilla violacea,LOXVIO,,,,1859,Passeriformes,Emberizidae,
LANB,Lesser Antillean Bullfinch,Loxigilla noctis,LOXNOC,,*,,1860,Passeriformes,Emberizidae,
BABU,Barbados Bullfinch,Loxigilla barbadensis,LOXBAD,,,,1861,Passeriformes,Emberizidae,
ORAN,Orangequit,Euneornis campestris,EUNCAM,,,,1862,Passeriformes,Emberizidae,
SLBF,St. Lucia Black Finch,Melanospiza richardsoni,MELRIC,,,,1863,Passeriformes,Emberizidae,
COFI,Cocos Finch,Pinaroloxias inornata,PININO,,,,1864,Passeriformes,Emberizidae,
SLFI,Slaty Finch,Haplospiza rustica,HAPRUS,,,,1865,Passeriformes,Emberizidae,
PBFI,Peg-billed Finch,Acanthidops bairdi,ACABAI,,,,1866,Passeriformes,Emberizidae,
CBFL,Cinnamon-bellied Flowerpiercer,Diglossa baritula,DIGBAR,,,,1867,Passeriformes,Emberizidae,
SLFL,Slaty Flowerpiercer,Diglossa plumbea,DIGPLU,,,,1868,Passeriformes,Emberizidae,
SAFI,Saffron Finch,Sicalis flaveola,SICFLA,,,,1869,Passeriformes,Emberizidae,
GRYF,Grassland Yellow-Finch,Sicalis luteola,SICLUT,,,,1870,Passeriformes,Emberizidae,
WTGF,Wedge-tailed Grass-Finch,Emberizoides herbicola,EMBHER,,,,1871,Passeriformes,Emberizidae,
YTFI,Yellow-thighed Finch,Pselliophorus tibialis,PSETIB,,,,1872,Passeriformes,Emberizidae,
YGFI,Yellow-green Finch,Pselliophorus luteoviridis,PSELUT,,,,1873,Passeriformes,Emberizidae,
LFFI,Large-footed Finch,Pezopetes capitalis,PEZCAP,,,,1874,Passeriformes,Emberizidae,
OBSP,Orange-billed Sparrow,Arremon aurantiirostris,ARRAUR,,,,1875,Passeriformes,Emberizidae,
SFFI,Sooty-faced Finch,Arremon crassirostris,ARRCRA,,,,1876,Passeriformes,Emberizidae,
CCBF,Chestnut-capped Brush-Finch,Arremon brunneinucha,ARRBRU,,,,1877,Passeriformes,Emberizidae,
GSBF,Green-striped Brush-Finch,Arremon virenticeps,ARRVIR,,,,1878,Passeriformes,Emberizidae,
CRBF,Costa Rican Brush-Finch,Arremon costaricensis,ARRCOS,,,,1879,Passeriformes,Emberizidae,
BHBF,Black-headed Brush-Finch,Arremon atricapillus,ARRATR,,,,1880,Passeriformes,Emberizidae,
OLSP,Olive Sparrow,Arremonops rufivirgatus,ARRRUF,,,,1881,Passeriformes,Emberizidae,
GBSP,Green-backed Sparrow,Arremonops chloronotus,ARRCHL,,,,1882,Passeriformes,Emberizidae,
BSTS,Black-striped Sparrow,Arremonops conirostris,ARRCON,,*,,1883,Passeriformes,Emberizidae,
WNBF,White-naped Brush-Finch,Atlapetes albinucha,ATLALB,,,,1884,Passeriformes,Emberizidae,
RCBF,Rufous-capped Brush-Finch,Atlapetes pileatus,ATLPIL,,,,1885,Passeriformes,Emberizidae,
COTO,Collared Towhee,Pipilo ocai,PIPOCA,,,,1886,Passeriformes,Emberizidae,
GTTO,Green-tailed Towhee,Pipilo chlorurus,PIPCHL,,,,1887,Passeriformes,Emberizidae,
SPTO,Spotted Towhee,Pipilo maculatus,PIPMAC,,,,1888,Passeriformes,Emberizidae,
RSTO,Rufous-sided Towhee,Pipilo maculatus/erythr.,PIPMAE,,,+,1889,Passeriformes,Emberizidae,
EATO,Eastern Towhee,Pipilo erythrophthalmus,PIPERP,*,,,1890,Passeriformes,Emberizidae,
RUSP,Rusty Sparrow,Aimophila rufescens,AIMRUS,*,,,1891,Passeriformes,Emberizidae,
RCSP,Rufous-crowned Sparrow,Aimophila ruficeps,AIMRUP,*,,,1892,Passeriformes,Emberizidae,
OASP,Oaxaca Sparrow,Aimophila notosticta,AIMNOT,,,,1893,Passeriformes,Emberizidae,
WEGS,White-eared Ground-Sparrow,Melozone leucotis,MELLEU,,,,1894,Passeriformes,Emberizidae,
PRGS,Prevost's Ground-Sparrow,Melozone biarcuata,MELBIA,,,,1895,Passeriformes,Emberizidae,
RCGS,Rusty-crowned Ground-Sparrow,Melozone kieneri,MELKIE,,,,1896,Passeriformes,Emberizidae,
CANT,Canyon Towhee,Melozone fusca,MEZFUS,*,*,,1897,Passeriformes,Emberizidae,
WTTO,White-throated Towhee,Melozone albicollis,MELALB,,,,1898,Passeriformes,Emberizidae,
CALT,California Towhee,Melozone crissalis,MELCRI,,*,,1899,Passeriformes,Emberizidae,
ABTO,Abert's Towhee,Melozone aberti,MELABE,,,,1900,Passeriformes,Emberizidae,
CTSP,Cinnamon-tailed Sparrow,Peucaea sumichrasti,PEUSUM,,,,1901,Passeriformes,Emberizidae,
